|6.6.6
harz_wet_1.tab                                                                                      
           2
T(K)    
   273.00000000000000     
   17.012820512820515     
          79
P(bar)  
   1.0000000000000000     
   1282.0384615384614     
          79
           9
T(K)           P(bar)         rho,kg/m3      alpha,1/K      beta,1/bar     cp,J/K/kg      vp,km/s        vs,km/s        h,J/kg        
  1038.58        1283.04        3269.68       0.372287E-004  0.106723E-005   1215.36        6.57047        3.15635      -0.122725E+008
  1055.59        1283.04        3267.60       0.374096E-004  0.107191E-005   1218.88        6.56083        3.15172      -0.122517E+008
  1072.60        1283.04        3265.52       0.375913E-004  0.107664E-005   1222.30        6.55116        3.14707      -0.122310E+008
  1089.62        1283.04        3263.42       0.377737E-004  0.108142E-005   1225.63        6.54144        3.14241      -0.122102E+008
  1106.63        1283.04        3261.32       0.379570E-004  0.108626E-005   1228.89        6.53169        3.13772      -0.121893E+008
  1123.64        1283.04        3259.21       0.381411E-004  0.109114E-005   1232.06        6.52190        3.13302      -0.121683E+008
  1140.65        1283.04        3257.09       0.383263E-004  0.109608E-005   1235.16        6.51207        3.12829      -0.121474E+008
  1157.67        1283.04        3254.96       0.385126E-004  0.110108E-005   1238.18        6.50219        3.12355      -0.121263E+008
  1174.68        1283.04        3252.83       0.387000E-004  0.110613E-005   1241.13        6.49228        3.11879      -0.121052E+008
  1191.69        1283.04        3250.68       0.388885E-004  0.111123E-005   1244.01        6.48233        3.11401      -0.120841E+008
  1208.71        1283.04        3248.53       0.390784E-004  0.111639E-005   1246.83        6.47234        3.10921      -0.120629E+008
  1225.72        1283.04        3246.36       0.392695E-004  0.112161E-005   1249.58        6.46232        3.10440      -0.120417E+008
  1242.73        1283.04        3244.19       0.394620E-004  0.112689E-005   1252.28        6.45225        3.09956      -0.120204E+008
  1259.74        1283.04        3242.01       0.396560E-004  0.113222E-005   1254.91        6.44214        3.09471      -0.119991E+008
  1276.76        1283.04        3239.81       0.398515E-004  0.113762E-005   1257.49        6.43200        3.08983      -0.119777E+008
  1293.77        1283.04        3237.61       0.400485E-004  0.114308E-005   1260.01        6.42181        3.08494      -0.119563E+008
  1310.78        1283.04        3235.40       0.402471E-004  0.114860E-005   1262.48        6.41159        3.08003      -0.119348E+008
  1327.79        1283.04        3233.18       0.404474E-004  0.115418E-005   1264.90        6.40132        3.07510      -0.119133E+008
  1344.81        1283.04        3230.95       0.406493E-004  0.115983E-005   1267.26        6.39102        3.07015      -0.118918E+008
  1361.82        1283.04        3228.71       0.408531E-004  0.116554E-005   1269.58        6.38068        3.06518      -0.118702E+008
  1378.83        1283.04        3226.46       0.410587E-004  0.117132E-005   1271.85        6.37029        3.06019      -0.118486E+008
  1395.85        1283.04        3224.21       0.412662E-004  0.117717E-005   1274.08        6.35987        3.05518      -0.118269E+008
  1412.86        1283.04        3221.94       0.414756E-004  0.118309E-005   1276.27        6.34941        3.05016      -0.118052E+008
  1429.87        1283.04        3219.66       0.416870E-004  0.118907E-005   1278.41        6.33890        3.04511      -0.117835E+008
  1446.88        1283.04        3217.37       0.419005E-004  0.119513E-005   1280.51        6.32836        3.04004      -0.117617E+008
  1463.90        1283.04        3215.07       0.421160E-004  0.120127E-005   1282.57        6.31777        3.03496      -0.117399E+008
  1480.91        1283.04        3212.76       0.423338E-004  0.120747E-005   1284.59        6.30714        3.02985      -0.117181E+008
  1497.92        1283.04        3210.44       0.425537E-004  0.121376E-005   1286.57        6.29648        3.02473      -0.116962E+008
  1514.94        1283.04        3208.11       0.427759E-004  0.122012E-005   1288.51        6.28577        3.01959      -0.116743E+008
  1531.95        1283.04        3205.77       0.430005E-004  0.122655E-005   1290.42        6.27502        3.01442      -0.116524E+008
  1548.96        1283.04        3203.42       0.432274E-004  0.123307E-005   1292.30        6.26423        3.00924      -0.116304E+008
  1565.97        1283.04        3201.06       0.434568E-004  0.123967E-005   1294.14        6.25339        3.00403      -0.116084E+008
  1582.99        1283.04        3198.69       0.436887E-004  0.124636E-005   1295.95        6.24252        2.99881      -0.115864E+008
  1600.00        1283.04        3196.31       0.439231E-004  0.125312E-005   1297.72        6.23160        2.99356      -0.115643E+008
  273.000        2565.08        2975.70       0.215921E-004  0.167683E-005   788.919        5.66225        2.72006      -0.131152E+008
  290.013        2565.08        2974.57       0.224030E-004  0.168012E-005   828.028        5.65890        2.71845      -0.131014E+008
